S.No,BP,AT,PM10,RH,PM2.5,WD,WS,NH3,CO,NO,NO2,NOx,SO2,Ozone,AQI,Label
2173,972.36,16.1475,324.2916667,68.47625,269.5,158.8333333,0.966666667,60.60625,2.627083333,109.0458333,89.27041667,137.08125,13.38916667,30.71125,2.37510136,Unhealthy
2174,971.8125,15.77916667,211.6875,51.18,95.98958333,253.7083333,0.449166667,40.41916667,1.864583333,78.19958333,70.12583333,101.0170833,16.41333333,29.6975,1.693709731,Moderate
2175,972.44,14.46958333,238.2916667,63.215,141.84375,261.3854167,0.512083333,44.96041667,2.11375,89.84083333,79.33625,115.4308333,16.26708333,33.42,1.303758232,Moderate
2176,972.2979167,13.395,223.2083333,76.79791667,191.1666667,267.1875,0.388333333,52.18291667,2.216666667,82.88125,67.055,103.2895833,12.14875,29.07875,1.449947893,Moderate
2177,972.5146667,13.53333333,257.7167889,79.464,224.9009713,262.3166667,0.328,53.894,2.586,81.39133333,83.93133333,111.072,13.942,28.54866667,1.5,Moderate
2178,972.25375,13.145,454.8079428,80.61291667,371.1321262,165.53125,0.440833333,59.16416667,4.61625,224.31125,96.34208333,239.27875,24.60625,39.80125,1.500400182,Moderate
2179,972.6829167,16.92166667,463.5416667,67.95416667,311.8333333,188.4583333,0.301666667,40.26208333,4.144583333,204.4685431,117.6145833,247.0083685,29.66375,31.96291667,2.975465216,Unhealthy
2180,972.12875,20.74333333,224.5552301,50.23375,68.9375,247.4583333,0.760416667,33.27708333,1.875833333,72.52708333,71.92666667,97.39,19.23416667,40.01041667,2.774420955,Unhealthy
2181,971.7483333,23.99958333,241.0833333,31.59833333,43.48958333,270.4583333,1.910833333,40.69458333,1.509583333,106.6883333,105.3320833,143.0191667,14.74541667,48.78458333,1.450786027,Moderate
2182,971.87875,31.93625,239.6145833,37.84958333,87.66666667,180.5104167,0.703333333,37.23666667,2.811666667,25.57291667,75.67791667,61.10458333,26.08791667,60.6275,1.383637935,Moderate
2183,730.1195833,32.31083333,174.53125,66.41291667,67.88150033,168.1666667,1.045,39.4975,1.039166667,20.17291667,31.66708333,51.79,4.995833333,32.09291667,1.471941167,Moderate
2184,894.7298547,39.50301354,285.422092,44.14112302,57.53775033,236.6823962,1.199087917,38.48319599,1.595630072,67.38239654,52.95079624,88.25503521,4.003416116,36.76307578,1.360191129,Moderate
2185,944.8762409,29.11097799,240.0728085,62.98416275,108.2153788,180.2680299,0.771938754,39.89600773,2.17756087,83.9205371,69.43039678,108.2945598,16.07324367,28.47793961,1.873834785,Moderate
